data_source,assess_year,country,level,date,regional,location,risk_factor
US,2019,Sudan,Level 4: Do Not Travel,4/11/19,,,"crime, terrorism, civil unrest, kidnapping, and armed conflict. "
US,2019,Suriname,Level 1: Exercise Normal Precautions,10/19/18,,,
US,2019,Sweden,Level 1: Exercise Normal Precautions,3/29/19,,,
US,2019,Switzerland,Level 1: Exercise Normal Precautions,9/18/18,,,
US,2019,Syria,Level 4: Do Not Travel,4/9/19,,,"terrorism, civil unrest, kidnapping, and armed conflict."
US,2019,Taiwan,Level 1: Exercise Normal Precautions,1/2/19,,,
US,2019,Tajikistan,Level 2: Exercise Increased Caution,8/3/18,,,terrorism
US,2019,Tanzania,Level 2: Exercise Increased Caution,2/25/19,,,"crime, terrorism, and targeting of LGBTI persons"
US,2019,Thailand,Level 1: Exercise Normal Precautions,1/29/19,,,
US,2019,The Bahamas,Level 2: Exercise Increased Caution,4/15/19,,,crime
US,2019,The Gambia,Level 1: Exercise Normal Precautions,12/10/18,,,
US,2019,The Kyrgyz Republic,Level 1: Exercise Normal Precautions,4/3/19,,,
US,2019,Timor-Leste,Level 1: Exercise Normal Precautions,12/21/18,,,
US,2019,Togo,Level 1: Exercise Normal Precautions,5/22/19,,,
US,2019,Tonga,Level 1: Exercise Normal Precautions,11/7/18,,,
US,2019,Trinidad and Tobago,Level 2: Exercise Increased Caution,4/9/19,,,"crime, terrorism, and kidnapping"
US,2019,Trinidad and Tobago,Level 4: Do Not Travel,4/9/19,1,The Port of Spain,crime
US,2019,Tunisia,Level 2: Exercise Increased Caution,1/2/19,,,terrorism
US,2019,Tunisia,Level 4: Do Not Travel,1/2/19,1,Border with Libya,terrorism
US,2019,Tunisia,Level 4: Do Not Travel,1/2/19,1,Western Mountains and Chaambi Mountain National Park,terrorism
US,2019,Tunisia,Level 4: Do Not Travel,1/2/19,1,The Desert South of Remada,military zone
US,2019,Tunisia,Level 4: Do Not Travel,1/2/19,1,Jendouba El Kef and Kasserine near the Algerian Border,terrorism
US,2019,Tunisia,Level 4: Do Not Travel,1/2/19,1,Sidi Bou Zid in Central Tunisia,terrorism
US,2019,Turkey,Level 3: Reconsider Travel,4/9/19,,,terrorism and arbitrary detentions
US,2019,Turkey,Level 4: Do Not Travel,4/9/19,1,Areas Near Syrian and Iraq Borders,terrorism and kidnapping
US,2019,Turkmenistan,Level 1: Exercise Normal Precautions,4/15/19,,,
US,2019,Turks and Caicos Islands,Level 2: Exercise Increased Caution,2/25/19,,,crime
US,2019,Tuvalu,Level 1: Exercise Normal Precautions,2/25/19,,,
US,2019,Uganda,Level 2: Exercise Increased Caution,4/9/19,,,crime and kidnapping
US,2019,Ukraine,Level 2: Exercise Increased Caution,6/11/19,,,"crime, civil unrest and elections"
US,2019,Ukraine,Level 4: Do Not Travel,6/11/19,1,Crimea,"crime, civil unrest and elections"
US,2019,Ukraine,Level 4: Do Not Travel,6/11/19,1,Donetsk and Luhansk,"crime, civil unrest and elections"
US,2019,United Arab Emirates,Level 1: Exercise Normal Precautions,5/17/19,,,
US,2019,United Kingdom,Level 2: Exercise Increased Caution,4/22/19,,,terrorism
US,2019,Uruguay,Level 1: Exercise Normal Precautions,1/29/19,,,
US,2019,Uzbekistan,Level 1: Exercise Normal Precautions,12/13/18,,,
US,2019,Vanuatu,Level 1: Exercise Normal Precautions,3/21/19,,,
US,2019,Venezuela,Level 4: Do Not Travel,4/9/19,,,"crime, civil unrest, poor health infrastructure, kidnapping, and arbitrary arrest and detention of U.S. citizens."
US,2019,Vietnam,Level 1: Exercise Normal Precautions,1/2/19,,,
US,2019,Yemen,Level 4: Do Not Travel,4/9/19,,,"terrorism, civil unrest, health risks, kidnapping, and armed conflict."
US,2019,Zambia,Level 1: Exercise Normal Precautions,12/14/18,,,
US,2019,Zimbabwe,Level 2: Exercise Increased Caution,5/14/19,,,crime and civil unrest.
Canada,2019,Azores,1,6/6/19,,,
Canada,2019,Canary Islands,1,6/6/19,,,
Canada,2019,Mayotte,1,6/13/19,,,
Canada,2019,Reunion,2,6/13/19,,,
Canada,2019,Falkland Islands,1,6/6/19,,,
Canada,2019,Puerto Rico,1,6/6/19,,,
Canada,2019,U.S. Virgin Islands,1,6/6/19,,,
Canada,2019,Greenland,1,6/6/19,,,
Canada,2019,Line Islands (Kiribati),1,6/6/19,,,
Canada,2019,American Samoa,1,6/6/19,,,
Canada,2019,Cook Islands,1,6/6/19,,,
Canada,2019,Niue,1,6/6/19,,,
Canada,2019,Tokelau,1,6/6/19,,,
Canada,2019,Saint Pierre and Miquelon,1,6/6/19,,,
Canada,2019,Northern Mariana Islands ,1,6/6/19,,,
Canada,2019,Guam,1,6/6/19,,,
Canada,2019,United States,1,6/21/19,,,
Canada,2019,Kyrgyzstan,2,7/2/19,,,
Canada ,2019,Liechtenstein,1,6/6/19,,,
Canada,2019,Monaco,1,6/6/19,,,
Canada,2019,Gibraltar,1,6/6/19,,,
Canada,2019,San Marino,1,6/6/19,,,
Canada,2019,Saint-Barthélemy,1,6/6/19,,,
Canada,2019,Bonaire,1,6/6/19,,,
Canada,2019,Guadeloupe,1,6/6/19,,,
