"rgn_name","rgn_id","commodity","product","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Egypt",214,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,34,5,134,1
"Egypt",214,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,12,0,0,0,0,369,200
"Egypt",214,"Natural sponges raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,0,9,0,1,0,0,0,0,0,18,0.1,0.1,0.1,0,1,0.1,0,0,0,0
"Egypt",214,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,55,0,35,30,29,63,39,23,12,11,0.1,1,0.1,5,4,18,3,10,8,24,259
"Egypt",214,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,2,0,60,61,60,20,26,10,20,70,0,0,20,25,59,56,81,48,7,36,28
"Egypt",214,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,0,19,13,11,8,15,4,0,0,0.1,3,0.1,0,0.1,0,0.1,0,0,0,0
"Egypt",214,"Z_TOTAL","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,73,126,25,34,83,135,2
"Egypt",214,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,55,0,35,30,29,63,39,23,12,11,0.1,1,0.1,5,4,18,3,10,8,24,259
"Egypt",214,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,2,0,60,61,60,20,26,10,20,70,0,0,20,25,59,56,81,48,7,36,28
"Egypt",214,"Z_TOTAL","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,12,0,0,0,0,369,200
"Egypt",214,"Z_TOTAL","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,3,0,9,0,1,0,0,0,0,0,18,0.1,0.1,0.1,0,1,0.1,0,0,0,0
"El Salvador",134,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,1021,240,0.1,0,0,0,0,0,0
"El Salvador",134,"Fish body oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,1000,0,83,0,0,0,2,0,98,34,20,108,123,72,108,110,182,156,162
"El Salvador",134,"Natural sponges raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0,23,0,0.1,0,0,0,0,0,0,0,15,52,0,0,0,0,0
"El Salvador",134,"Ornamental fish nei","ornamentals",0.1,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,1,0.1,0.1,0,0,40,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",134,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,1021,240,0.1,0,0,0,0,0,0
"El Salvador",134,"Z_TOTAL","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,1000,0,83,0,0,0,2,0,98,34,20,108,123,72,108,110,182,156,162
"El Salvador",134,"Z_TOTAL","ornamentals",0.1,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,1,0.1,0.1,0,0,40,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"El Salvador",134,"Z_TOTAL","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0,23,0,0.1,0,0,0,0,0,0,0,15,52,0,0,0,0,0
"Equatorial Guinea",104,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0
"Equatorial Guinea",104,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0
"Eritrea",45,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,2,0.1,0.1,0,0,0,0,0,0,0,0,3,1,0.1,0.1,0,0,0,0
"Eritrea",45,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,2,0.1,0.1,0,0,0,0,0,0,0,0,3,1,0.1,0.1,0,0,0,0
"Estonia",70,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,40,53,96,63,31,6,26,24,26,19,2,18,9,4,1,0,0.1
"Estonia",70,"Fish body oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,7,11,14,24,8,7,0.1,53,34,18,16,0.1,0,0,2,8,3,2,1,1,1,1,2
"Estonia",70,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,11,18,0.1,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,1,0,0.1,0,0.1,0,0,0.1,0
"Estonia",70,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Estonia",70,"Natural sponges other than raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0,0,0.1,0.1,0.1
"Estonia",70,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,129,117,161,139,142,315,108,118,276,219,18,74,0.1,0,0,0,0
"Estonia",70,"Z_TOTAL","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,43,22,32,24.1,8,7,0.1,53,34.1,18,16.1,0.2,0.1,0.1,3,8,3.1,2,1.1,1,1,1.1,2
"Estonia",70,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,169,170,257,202,173,321,134,142,302,238,20,92,9.1,4,1,0,0.1
"Estonia",70,"Z_TOTAL","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Estonia",70,"Z_TOTAL","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0,0,0.1,0.1,0.1
"Faeroe Islands",141,"Fish body oils, nei","fish_oil",6310,6003,6492,2974,7300,5366,3497,7645,8647,16482,9912,7191,12759,7834,3033,2835,9463,16488,10278,6834,9984,7054,1245,3454,1199,988,1223,803,5346,4516,678,2524,55,67,2091,430,0,6984,3334,4000
"Faeroe Islands",141,"Fish liver oils, nei","fish_oil",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,212,141,85,0,0,0,0,0,0,285,0,35,0,0,0,0,0,0,0
"Faeroe Islands",141,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,53,0,5,0,3950,1200,0,1300,0.1,0,2373,1631,0,0,0,0,0,0
"Faeroe Islands",141,"Z_TOTAL","fish_oil",6332,6003,6492,2974,7300,5366,3497,7645,8647,16482,9912,7191,12759,7834,3033,2835,9463,16488,10278,6834,10359,7266,1386,3539,1199,988,1223,803,5346,4516,963,2524,90,67,2091,430,0,6984,3334,4000
"Faeroe Islands",141,"Z_TOTAL","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,53,0,5,0,3950,1200,0,1300,0.1,0,2373,1631,0,0,0,0,0,0
"Fiji",18,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589,457,351,109,307,0,536,1180,1280,830,1235,0,1026,1412,1695,1852,1837,1814,1244,782,1030,1127,1251,1088,981,900
"Fiji",18,"Fish body oils, nei","fish_oil",NA,NA,6,0.1,11,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fiji",18,"Kelp","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,0,0,0.1,19,10,91,41,15,32,28,21,22,43,24,0
"Fiji",18,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8589210132389,46.7608931040136,61.0454628782851,0,0,0,0,0,0,48.2861965549645,48.6110871705515,198.197162636688,233,253,220,269,126,90,117,119,99,175,135,0,0,0,0
"Fiji",18,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,93,95,98
"Fiji",18,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,0.1,49
"Fiji",18,"Trochus shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,0.1,37,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fiji",18,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589,457,351,109,307,0,536,1180,1280,830,1235,0,1026,1412,1695,1852,1837,1814,1244,782,1030,1127,1251,1088,981,900
"Fiji",18,"Z_TOTAL","fish_oil",NA,NA,6,0.1,11,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fiji",18,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8589210132389,46.7608931040136,61.0454628782851,0,0,0,0,0,0,48.2861965549645,48.6110871705515,198.197162636688,233,253,220,269,126,90,117,119,99,175,135,71,93,95,98
"Fiji",18,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,0,0,0.1,19,10,91,41,15,32,28,21,22.1,44,24.1,49
"Fiji",18,"Z_TOTAL","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,0.1,37,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",174,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,1,0.1,0.1,0.1,0.1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.1
"Finland",174,"Fish body oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,64,0,0,28,3,13,2,334,0.1,0.1,4,2,0,0.1,7,0,4,1,0,1,7,0.1,0.1,7,183,673,39,419,657,1117,322,2,1
"Finland",174,"Fish liver oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,0,0.1,0.1,0.1,16,4,10,1,3,1,0.1,0,0.1,0.1,1,1,6,7,10,5,8,8,10,6,1,0.1,0.1
"Finland",174,"Halibuts, liver oils","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,19,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0
"Finland",174,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,1,0.1,0.1,0.1,0,0,0.1,0.1,0,0.1,0,0,0
"Finland",174,"Natural sponges other than raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
"Finland",174,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,9,17,2,2,1,0.1,0.1,1,0.1,0.1,0.1,10,10,12,12,2,0,0,0,NA
"Finland",174,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,12,6,4
"Finland",174,"Z_TOTAL","fish_oil",NA,NA,NA,NA,NA,NA,NA,64,0,0,28,3,39,2,334.1,0.2,0.2,20,6,10,3.1,10,1,4.1,1,19.1,1.2,8,1.1,6.1,14,193,678,47,427,667.1,1123,323,2.1,1.1
"Finland",174,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,9,17,2.1,2.1,2,0.2,0.2,1.1,0.2,0.1,1.1,11,10,12,12,2,2.1,12.1,6.1,4.1
"Finland",174,"Z_TOTAL","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,1,0.1,0.1,0.1,0,0,0.1,0.1,0,0.1,0,0,0
"Finland",174,"Z_TOTAL","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
"France",179,"Agar agar nei","seaweeds",64,63,52,44,52,114,75,58,54,72,46,73,156,108,0,0,0,0,43,54,61,71,105,91,113,67,105,74,128,98,82,91,70,118,140,156,149,187,170,112
"France",179,"Coral and the like","corals",25,5,76,41,12,34,3,3,6,6,8,3,12,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",179,"Fish body oils, nei","fish_oil",5001,5075,4816,6393,3626,4429,6325,5806,5805,8394,7673,8715,13261,13378,13736,10757,14883,20004,20050,20445,15058,16816,10043,13265,19068,19414,17632,18570,17131,16523,19616,20448,26071,14927,18409,12693,18827,16911,19039,23903
"France",179,"Fish liver oils, nei","fish_oil",344,300,157,165,356,308,359,503,485,417,792,924,1112,500,404,410,547,978,1483,754,739,701,642,713,587,266,321,342,213,125,359,312,238,269,755,667,360,437,1079,815
"France",179,"Halibuts, liver oils","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,16,0.1,0.1,0.1,0.1,0.1,0.1,4,0.1,1,0.1,2,3,0.1,2,0.1,0.1,0.1,0.1
"France",179,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5370,8141,6512,420,161,171,265,1059,1233,1347,1505,2148,1408,1786,1796,2195,2717,5463,4186,1139,305,194,297,1320,507,358
"France",179,"Natural sponges other than raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,43,3,138,18,20,6,12,11,12,18,17,11,120,190,121,82,71,50,47,28,4
"France",179,"Natural sponges raw","sponges",46,55,60,62,67,66,61,66,58,75,78,59,65,49,262,65,59,39,20,12,22,54,43,29,46,44,34,32,35,28,31,40,31,101,21,19,22,16,23,18
"France",179,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1,1,0.1,6,543,555,15,1,528,102,78,97,280,292,385,361,212,145,128,133,82,157,35,42,67,78,75
"France",179,"Other seaweeds and aquatic plants and products thereof","seaweeds",1242,1257,107,142,1791,1840,2025,1796,1837,323,395,291,3930,1702,2333,2563,3260,9649,4092,2086,6255,5366,5997,5760,5898,4997,3911,2485,2079,2587,3331,5252,3603,2397,3354,2894,0,0,0,NA
"France",179,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1406,1818,1621,2292
"France",179,"Shells nei","shells",1436,1295,1393,2471,2258,1437,1213,383,168,1318,2702,3601,228,4543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",179,"Z_TOTAL","corals",25,5,76,41,12,34,3,3,6,6,8,3,12,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",179,"Z_TOTAL","fish_oil",5345,5375,4973,6558,3982,4737,6684,6309,6290,8811,8465,9639,14373,13878,14140,11167,15430,20982,21533,21199.1,15797.1,17533,10685.1,13978.1,19655.1,19680.1,17953.1,18912.1,17348,16648.1,19976,20760.1,26311,15199,19164.1,13362,19187.1,17348.1,20118.1,24718.1
"France",179,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1,1,0.1,6,543,555,15,1,528,102,78,97,280,292,385,361,212,145,128,133,82,157,35,42,67,78,75
"France",179,"Z_TOTAL","seaweeds",1306,1320,159,186,1843,1954,2100,1854,1891,395,441,364,4086,1810,2333,2563,3260,9649,4135,2140,6316,5437,6102,5851,6011,5064,4016,2559,2207,2685,3413,5343,3673,2515,3494,3050,1555,2005,1791,2404
"France",179,"Z_TOTAL","shells",1436,1295,1393,2471,2258,1437,1213,383,168,1318,2702,3601,228,4543,5370,8141,6512,420,161,171,265,1059,1233,1347,1505,2148,1408,1786,1796,2195,2717,5463,4186,1139,305,194,297,1320,507,358
"France",179,"Z_TOTAL","sponges",46,55,60,62,67,66,61,66,58,75,78,59,65,49,262,65,59,39,39,55,25,192,61,49,52,56,45,44,53,45,42,160,221,222,103,90,72,63,51,22
"French Polynesia",147,"Coral and the like","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2
"French Polynesia",147,"Ornamental fish nei","ornamentals",0.1,1,1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,3,12,20,34,48,56,53,47,37,27,35,27,24,21,0,0,0,NA
"French Polynesia",147,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,15,29,21
"French Polynesia",147,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,NA
"French Polynesia",147,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1
"French Polynesia",147,"Shells nei","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,815,556,941,846,807,1276,1942,1828,2896,2520,2407,2381,1858,2129,2879,2600,3045,2211,2144
"French Polynesia",147,"Z_TOTAL","corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2
"French Polynesia",147,"Z_TOTAL","ornamentals",0.1,1,1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,3,12,20,34,48,56,53,47,37,27,35,27,24,21,23,15,29,21
"French Polynesia",147,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"French Polynesia",147,"Z_TOTAL","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,815,556,941,846,807,1276,1942,1828,2896,2520,2407,2381,1858,2129,2879,2600,3045,2211,2144
"Georgia",74,"Fish body oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,383,0,439,671,0.1,1593,1170,186,3296,4058,3550
"Georgia",74,"Z_TOTAL","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,383,0,439,671,0.1,1593,1170,186,3296,4058,3550
"Germany",176,"Agar agar nei","seaweeds",45,35,58,72,63,50,52,82,116,73,65,112,134,269,0,0,0,0,247,170,244,327,296,373,416,423,656,517,527,634,644,394,652,610,860,618,404,521,606,659
"Germany",176,"Fish body oils, nei","fish_oil",5743,4369,6152,3175,3064,4369,4079,3964,3243,2006,2583,2747,6200,11118,5480,7178,8564,3432,3747,16277,4355,3092,5911,3009,1666,5999,6603,7198,8958,4476,7440,8407,9349,8773,11428,10375,10603,10909,11004,11695
"Germany",176,"Fish liver oils, nei","fish_oil",1085,491,264,421,410,244,220,127,117,83,81,33,252,193,450,220,138,118,172,149,161,143,108,48,80,153,217,259,334,271,303,351,313,339,381,437,442,364,521,413
"Germany",176,"Halibuts, liver oils","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,2,1,4,0.1,0.1,8,7,5,13,0,11,0,1,2,1,0.1,3,4
"Germany",176,"Miscellaneous corals and shells","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,251,428,294,315,480,300,173,128,194,166,105,311,378,175,427,562,272,527,196,471,350,356,328,365,466
"Germany",176,"Natural sponges other than raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,4,1,3,2,3,7,4,3,1,17,3,12,0.1,2,8,21,10,18,14
"Germany",176,"Natural sponges raw","sponges",1,2,2,2,5,1,1,2,2,3,5,3,6,12,5,4,11,54,0.1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.1,2,0.1,0.1
"Germany",176,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,33,6,41,14,34,2,6,4,25,21,9,1,2,3,3,3,5,5,2,3,3,2,2,3,4
"Germany",176,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,22,42,40,47,69,144,97,164,127,132,111,124,91,81,84,146,130,140,161,262,127,223,285,0,0,0,NA
"Germany",176,"Seaweeds and other algae, unfit for human consumption, nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,209,250,233
"Germany",176,"Shells nei","shells",215,204,109,205,251,249,260,234,224,207,172,232,170,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",176,"Z_TOTAL","fish_oil",6828,4860,6416,3596,3474,4613,4299,4091,3360,2089,2664,2780,6452,11311,5930,7398,8702,3550,3919,16429,4516,3236,6021,3058,1750,6152.1,6820.1,7465,9299,4752,7756,8758,9673,9112,11810,10814,11046,11273.1,11528,12112
"Germany",176,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,33,6,41,14,34,2,6,4,25,21,9,1,2,3,3,3,5,5,2,3,3,2,2,3,4
