assess_year,country,level,date,rgn_name,regional,location,risk_factor
2018,Tunisia,4: Do not travel,1/10/18,Tunisia,1,"Jendouba south of Ain Drahem and west of RN15, El Kef, and Kasserine, next to the Algerian border",terrorism
2018,Tunisia,4: Do not travel,1/10/18,Tunisia,1,Sidi Bou Zid in central Tunisia,terrorism
2018,Turkey,3: Reconsider travel,6/28/18,Turkey,,,terrorism and arbitrary detentions
2018,Turkey,4: Do not travel,6/28/18,Turkey,1,"Areas along the Turkey-Syria border and the southeastern provinces of Hatay, Kilis, Gaziantep, Sanliurfa, Sirnak, Diyarbakir, Van, Siirt, Mus, Mardin, Batman, Bingol, Tunceli, Hakkari, and Bitlis ",terrorism
2018,Turkmenistan,1: Exercise normal precautions,4/18/18,Turkmenistan,,,
2018,Turks and Caicos,2: Exercise increased caution,1/10/18,"Turks and Caicos Islands	",,,crime
2018,Tuvalu,1: Exercise normal precautions,1/10/18,Tuvalu,,,
2018,Uganda,2: Exercise increased caution,1/10/18,Uganda,,,crime
2018,Ukraine,2: Exercise increased caution,1/10/18,Ukraine,,,crime and civil unrest
2018,Ukraine,4: Do not travel,1/10/18,Ukraine,1,Crimea,armed conflict
2018,United Arab Emirates (UAE),1: Exercise normal precautions,1/10/18,United Arab Emirates,,,
2018,United Kingdom,2: Exercise increased caution,1/10/18,United Kingdom,,,terrorism
2018,Uruguay,1: Exercise normal precautions,1/10/18,Uruguay,,,
2018,Uzbekistan,1: Exercise normal precautions,1/10/18,Uzbekistan,,,
2018,Vanuatu,1: Exercise normal precautions,1/10/18,Vanuatu,,,
2018,Venezuela,3: Reconsider travel,5/29/18,Venezuela,,,"crime, civil unrest, poor health infrastructure, and arbitrary arrest and detention of U.S. citizens"
2018,Venezuela,4: Do not travel,5/29/18,Venezuela,1,On roads after dark outside of Caracas,crime
2018,Venezuela,4: Do not travel,5/29/18,Venezuela,1,To certain neighborhoods within Caracas,crime
2018,Venezuela,4: Do not travel,5/29/18,Venezuela,1,Within 50 miles of the Colombian border,crime
2018,Vietnam,1: Exercise normal precautions,1/10/18,Vietnam,,,
2018,Yemen,4: Do not travel,1/10/18,Yemen,,,"terrorism, civil unrest, health, and armed conflict. 
"
2018,Zambia,1: Exercise normal precautions,1/10/18,Zambia,,,
2018,Zimbabwe,2: Exercise increased caution,1/10/18,Zimbabwe,,,crime and civil unrest
